subj	session	variance	catAss	ticks	feedType	phase	trial	length	tarCat	respSE	respRT	respACC	move
112101	1	1	1	2	1	1	109	51	D	A	762	0	13
112101	1	1	1	2	1	1	110	23	A	D	435	0	13
112101	1	1	1	2	1	1	111	27	A	A	259	1	13
112101	1	1	1	2	1	1	112	30	A	D	467	0	13
112101	1	1	1	2	1	1	113	22	A	D	419	0	13
112101	1	1	1	2	1	1	114	31	A	D	571	0	13
112101	1	1	1	2	1	1	115	33	D	D	275	1	13
112101	1	1	1	2	1	1	116	35	D	D	738	1	13
112101	1	1	1	2	1	1	117	47	D	A	299	0	13
112101	1	1	1	2	1	1	118	32	A	A	291	1	13
112101	1	1	1	2	1	1	119	27	D	A	299	0	13
112101	1	1	1	2	1	1	120	20	A	D	691	0	13
112101	1	1	1	2	1	1	121	11	A	D	347	0	13
112101	1	1	1	2	1	1	122	15	A	A	274	1	13
112101	1	1	1	2	1	1	123	21	A	A	226	1	13
112101	1	1	1	2	1	1	124	23	A	A	260	1	13
112101	1	1	1	2	1	1	125	24	D	A	411	0	13
112101	1	1	1	2	1	1	126	37	A	D	259	0	13
112101	1	1	1	2	1	1	127	18	A	A	331	1	13
112101	1	1	1	2	1	1	128	39	A	D	522	0	13
112101	1	1	1	2	1	1	129	39	A	D	498	0	13
112101	1	1	1	2	1	1	130	34	A	D	442	0	13
112101	1	1	1	2	1	1	131	42	D	D	300	1	13
112101	1	1	1	2	1	1	132	27	D	A	289	0	13
112101	1	1	1	2	1	1	133	33	A	D	324	0	13
112101	1	1	1	2	1	1	134	9	A	D	827	0	13
112101	1	1	1	2	1	1	135	44	A	D	274	0	13
112101	1	1	1	2	1	1	136	29	D	D	235	1	13
112101	1	1	1	2	1	1	137	29	D	D	379	1	13
112101	1	1	1	2	1	1	138	38	D	D	236	1	13
112101	1	1	1	2	1	1	139	21	A	A	306	1	13
112101	1	1	1	2	1	1	140	31	D	A	380	0	13
112101	1	1	1	2	1	1	141	54	D	A	298	0	13
112101	1	1	1	2	1	1	142	24	A	A	419	1	13
112101	1	1	1	2	1	1	143	34	A	D	242	0	13
112101	1	1	1	2	1	1	144	16	A	A	277	1	13
112101	1	1	1	2	1	1	145	25	A	D	34	0	13
112101	1	1	1	2	1	1	146	38	A	A	211	1	13
112101	1	1	1	2	1	1	147	30	D	A	195	0	13
112101	1	1	1	2	1	1	148	43	D	A	235	0	13
112101	1	1	1	2	1	1	149	36	A	D	67	0	13
112101	1	1	1	2	1	1	150	26	D	A	283	0	13
112101	1	1	1	2	1	1	151	7	A	D	51	0	13
112101	1	1	1	2	1	1	152	18	D	D	603	1	13
112101	1	1	1	2	1	1	153	26	A	D	690	0	13
112101	1	1	1	2	1	1	154	33	D	A	538	0	13
112101	1	1	1	2	1	1	155	46	A	D	498	0	13
112101	1	1	1	2	1	1	156	41	D	D	378	1	13
112101	1	1	1	2	1	1	157	36	D	D	578	1	13
112101	1	1	1	2	1	1	158	48	D	A	636	0	13
112101	1	1	1	2	1	1	159	30	A	D	731	0	13
112101	1	1	1	2	1	1	160	37	D	D	467	1	13
112101	2	1	1	2	1	1	1	23	A	A	829	1	13
112101	2	1	1	2	1	1	2	45	D	A	734	0	13
112101	2	1	1	2	1	1	3	52	D	D	713	1	13
112101	2	1	1	2	1	1	4	21	A	A	746	1	13
112101	2	1	1	2	1	1	5	26	A	D	796	0	13
112101	2	1	1	2	1	1	6	33	D	D	561	1	13
